elementId,cellType,x,y,signalStrength
0,电源,0,1,1.0
1,电源,3,0,4.0
2,电源,4,0,4.0
3,电源,7,0,1.0
4,电源,8,0,10.0
5,灯,1,10,3.0
6,灯,4,10,5.0
7,灯,8,10,1.0
8,增幅器,3,1,1.0
9,增幅器,2,1,1.0
10,增幅器,1,1,1.0
11,增幅器,1,2,1.0
12,增幅器,1,3,1.0
13,增幅器,1,4,1.0
14,增幅器,1,5,1.0
15,增幅器,1,6,1.0
16,增幅器,1,7,1.0
17,增幅器,1,8,1.0
18,增幅器,2,8,1.0
19,增幅器,3,8,1.0
20,增幅器,3,7,1.0
21,增幅器,3,6,1.0
22,增幅器,3,5,1.0
23,增幅器,2,5,1.0
24,增幅器,5,1,1.0
25,增幅器,5,2,1.0
26,增幅器,5,3,1.0
27,增幅器,5,4,1.0
28,增幅器,5,5,1.0
29,增幅器,5,6,1.0
30,增幅器,5,7,1.0
31,增幅器,5,8,1.0
32,增幅器,6,8,1.0
33,增幅器,7,8,1.0
34,增幅器,7,7,1.0
35,增幅器,7,6,1.0
36,增幅器,7,5,1.0
37,增幅器,7,4,1.0
38,增幅器,7,3,1.0
39,增幅器,7,2,1.0
40,增幅器,7,1,1.0
41,增幅器,6,1,1.0
42,合并器(下),4,8,
43,合并器(下),8,8,
44,不可放置区,1,0,
45,不可放置区,2,0,
46,不可放置区,5,0,
47,不可放置区,6,0,
48,不可放置区,9,0,
49,不可放置区,2,2,
50,不可放置区,2,3,
51,不可放置区,2,4,
52,不可放置区,2,6,
53,不可放置区,2,7,
54,不可放置区,4,2,
55,不可放置区,4,3,
56,不可放置区,4,4,
57,不可放置区,4,5,
58,不可放置区,4,6,
59,不可放置区,4,7,
60,不可放置区,6,2,
61,不可放置区,6,3,
62,不可放置区,6,4,
63,不可放置区,6,5,
64,不可放置区,6,6,
65,不可放置区,6,7,
66,不可放置区,8,2,
67,不可放置区,8,3,
68,不可放置区,8,4,
69,不可放置区,8,5,
70,不可放置区,8,6,
71,不可放置区,8,7,
